Priority_Rank,Churn_Prob,Contract,CLTV,Monthly_Charge,Discount_Rate,Monthly_Discount,Annual_Offer_Cost,Expected_Loss,Net_ROI
38,0.92,Month-to-Month,5831,88.556,0.1,8.8556,106.2672,5364.52,5258.2528
39,0.9,One Year,5958,93.704,0.1,9.3704,112.4448,5362.2,5249.7552
40,0.95,Month-to-Month,5644,71.708,0.1,7.1708,86.0496,5361.8,5275.7504
41,0.93,Month-to-Month,5764,98.176,0.1,9.8176,117.81120000000001,5360.52,5242.7088
42,0.94,Month-to-Month,5702,30.836,0.1,3.0836,37.0032,5359.88,5322.8768
43,0.95,Month-to-Month,5630,77.012,0.1,7.7012,92.4144,5348.5,5256.0856
44,0.93,Month-to-Month,5746,73.892,0.1,7.3892,88.6704,5343.780000000001,5255.109600000001
45,0.95,Month-to-Month,5622,85.228,0.1,8.5228,102.2736,5340.9,5238.626399999999
46,0.92,Month-to-Month,5800,92.872,0.1,9.2872,111.44640000000001,5336.0,5224.5536
47,0.94,Month-to-Month,5676,98.332,0.1,9.8332,117.9984,5335.44,5217.441599999999
48,0.95,Month-to-Month,5613,79.404,0.1,7.9404,95.2848,5332.349999999999,5237.065199999999
49,0.95,Month-to-Month,5605,46.332,0.1,4.6332,55.598400000000005,5324.75,5269.1516
50,0.9,Month-to-Month,5915,83.564,0.1,8.356399999999999,100.27679999999998,5323.5,5223.2232
51,0.93,Month-to-Month,5721,87.724,0.1,8.772400000000001,105.26880000000001,5320.530000000001,5215.261200000001
52,0.95,Month-to-Month,5598,51.116,0.1,5.1116,61.339200000000005,5318.099999999999,5256.760799999999
53,0.95,Month-to-Month,5593,82.732,0.1,8.273200000000001,99.2784,5313.349999999999,5214.071599999999
54,0.89,One Year,5965,110.5,0.1,11.05,132.60000000000002,5308.85,5176.25
55,0.9,Month-to-Month,5897,77.948,0.1,7.7947999999999995,93.5376,5307.3,5213.7624000000005
56,0.91,Month-to-Month,5825,38.324,0.1,3.8324,45.9888,5300.75,5254.7612
57,0.96,Month-to-Month,5515,68.9,0.15,10.335,124.02000000000001,5294.4,5170.379999999999
58,0.97,Month-to-Month,5443,76.596,0.15,11.4894,137.87279999999998,5279.71,5141.8372
59,0.9,Month-to-Month,5865,25.948,0.1,2.5948,31.137600000000003,5278.5,5247.3624
60,0.9,Month-to-Month,5860,108.004,0.1,10.800400000000002,129.6048,5274.0,5144.3952
61,0.9,Month-to-Month,5858,51.324,0.1,5.1324000000000005,61.588800000000006,5272.2,5210.611199999999
62,0.92,Month-to-Month,5730,74.204,0.1,7.4204,89.0448,5271.6,5182.555200000001
63,0.93,Month-to-Month,5668,75.088,0.1,7.5088,90.1056,5271.240000000001,5181.134400000001
64,0.93,Month-to-Month,5657,77.064,0.1,7.7063999999999995,92.4768,5261.01,5168.5332
65,0.94,Month-to-Month,5587,90.584,0.1,9.0584,108.70080000000002,5251.78,5143.0792
66,0.91,Month-to-Month,5764,88.244,0.1,8.8244,105.89280000000001,5245.24,5139.3472
67,0.9,Month-to-Month,5828,41.808,0.1,4.1808000000000005,50.1696,5245.2,5195.0304
68,0.98,Month-to-Month,5351,104.988,0.15,15.748199999999999,188.9784,5243.98,5055.0016
69,0.9,Month-to-Month,5824,44.98,0.1,4.498,53.976,5241.6,5187.624000000001
70,0.88,Month-to-Month,5955,45.864,0.1,4.5864,55.0368,5240.4,5185.3632
71,0.9,Month-to-Month,5822,20.95,0.1,2.095,25.14,5239.8,5214.66
72,0.94,Month-to-Month,5574,84.968,0.1,8.4968,101.9616,5239.5599999999995,5137.5984
73,0.95,Month-to-Month,5512,88.972,0.1,8.8972,106.7664,5236.4,5129.633599999999
74,0.86,Month-to-Month,6088,103.792,0.1,10.3792,124.55040000000001,5235.68,5111.1296
75,0.97,Month-to-Month,5394,94.12,0.15,14.118,169.416,5232.18,5062.764
76,0.88,Month-to-Month,5944,79.56,0.1,7.956,95.47200000000001,5230.72,5135.2480000000005
77,0.91,Month-to-Month,5748,80.6,0.1,8.06,96.72,5230.68,5133.96
78,0.91,Month-to-Month,5745,87.776,0.1,8.7776,105.3312,5227.95,5122.6188
79,0.96,Month-to-Month,5444,102.492,0.15,15.3738,184.48559999999998,5226.24,5041.7544
80,0.81,One Year,6452,87.724,0.05,4.3862000000000005,52.63440000000001,5226.12,5173.4856
81,0.97,Month-to-Month,5378,77.844,0.15,11.676599999999999,140.11919999999998,5216.66,5076.5408
82,0.93,Month-to-Month,5606,99.944,0.1,9.9944,119.93280000000001,5213.58,5093.6472
83,0.97,Month-to-Month,5374,83.668,0.15,12.5502,150.6024,5212.78,5062.1776
84,0.98,Month-to-Month,5301,82.004,0.15,12.300600000000001,147.6072,5194.98,5047.372799999999
85,0.97,Month-to-Month,5353,99.164,0.15,14.8746,178.49519999999998,5192.41,5013.9148
86,0.95,Month-to-Month,5463,93.548,0.1,9.354800000000001,112.25760000000001,5189.849999999999,5077.5923999999995
87,0.92,Month-to-Month,5641,98.488,0.1,9.8488,118.18560000000001,5189.72,5071.5344000000005
88,0.87,Month-to-Month,5963,108.212,0.1,10.821200000000001,129.8544,5187.81,5057.9556
89,0.95,Month-to-Month,5458,97.968,0.1,9.796800000000001,117.56160000000001,5185.099999999999,5067.5383999999995
90,0.89,Month-to-Month,5824,73.944,0.1,7.394400000000001,88.73280000000001,5183.36,5094.6272
91,0.93,Month-to-Month,5565,87.152,0.1,8.715200000000001,104.5824,5175.45,5070.8676
92,0.91,Month-to-Month,5687,73.216,0.1,7.3216,87.8592,5175.17,5087.3108
93,0.89,Month-to-Month,5801,87.828,0.1,8.7828,105.39359999999999,5162.89,5057.4964
94,0.92,Month-to-Month,5598,103.948,0.1,10.3948,124.7376,5150.16,5025.4223999999995
95,0.87,Month-to-Month,5919,77.896,0.1,7.7896,93.4752,5149.53,5056.0548
96,0.91,Month-to-Month,5655,45.916,0.1,4.5916,55.099199999999996,5146.05,5090.9508000000005
97,0.91,Month-to-Month,5654,62.504,0.1,6.2504,75.0048,5145.14,5070.135200000001
98,0.91,Month-to-Month,5654,93.86,0.1,9.386000000000001,112.632,5145.14,5032.508000000001
99,0.96,Month-to-Month,5359,89.44,0.15,13.415999999999999,160.992,5144.639999999999,4983.647999999999
100,0.93,Month-to-Month,5527,58.032,0.1,5.8032,69.6384,5140.110000000001,5070.471600000001
101,0.86,Month-to-Month,5974,83.564,0.1,8.356399999999999,100.27679999999998,5137.64,5037.363200000001
102,0.86,Month-to-Month,5973,79.248,0.1,7.924800000000001,95.09760000000001,5136.78,5041.6824
103,0.96,Month-to-Month,5347,94.744,0.15,14.211599999999999,170.5392,5133.12,4962.5808
104,0.9,Month-to-Month,5701,98.644,0.1,9.864400000000002,118.37280000000001,5130.900000000001,5012.5272
105,0.91,Month-to-Month,5638,76.7,0.1,7.670000000000001,92.04,5130.58,5038.54
106,0.86,Month-to-Month,5964,84.084,0.1,8.4084,100.9008,5129.04,5028.1392
107,0.95,Month-to-Month,5390,73.788,0.1,7.3788,88.54560000000001,5120.5,5031.9544
108,0.98,Month-to-Month,5224,104.572,0.15,15.6858,188.2296,5119.5199999999995,4931.2904
109,0.9,Month-to-Month,5684,82.68,0.1,8.268,99.21600000000001,5115.6,5016.384
110,0.9,Month-to-Month,5683,91.728,0.1,9.1728,110.0736,5114.7,5004.6264
111,0.95,Month-to-Month,5383,100.36,0.1,10.036000000000001,120.43200000000002,5113.849999999999,4993.418
112,0.88,Month-to-Month,5811,98.488,0.1,9.8488,118.18560000000001,5113.68,4995.4944000000005
113,0.92,Month-to-Month,5552,87.412,0.1,8.741200000000001,104.89440000000002,5107.84,5002.9456
114,0.9,Month-to-Month,5674,74.516,0.1,7.451600000000001,89.41920000000002,5106.6,5017.1808
115,0.87,Month-to-Month,5869,87.308,0.1,8.7308,104.7696,5106.03,5001.2604
116,0.9,Month-to-Month,5672,71.76,0.1,7.176000000000001,86.11200000000001,5104.8,5018.688
117,0.9,Month-to-Month,5671,71.76,0.1,7.176000000000001,86.11200000000001,5103.900000000001,5017.7880000000005
118,0.87,Month-to-Month,5861,77.584,0.1,7.758400000000001,93.1008,5099.07,5005.9692
119,0.9,Month-to-Month,5662,95.784,0.1,9.5784,114.9408,5095.8,4980.8592
120,0.96,Month-to-Month,5299,97.968,0.15,14.6952,176.3424,5087.04,4910.6975999999995
121,0.9,Month-to-Month,5651,94.484,0.1,9.4484,113.3808,5085.900000000001,4972.519200000001
122,0.85,Month-to-Month,5980,98.8,0.05,4.94,59.28,5083.0,5023.72
123,0.92,Month-to-Month,5514,78.104,0.1,7.8104000000000005,93.7248,5072.88,4979.1552
124,0.96,Month-to-Month,5284,78.364,0.15,11.7546,141.0552,5072.639999999999,4931.5848
125,0.97,Month-to-Month,5225,71.708,0.15,10.7562,129.0744,5068.25,4939.1756
126,0.91,Month-to-Month,5569,97.76,0.1,9.776000000000002,117.31200000000001,5067.79,4950.478
127,0.92,One Year,5504,108.212,0.1,10.821200000000001,129.8544,5063.68,4933.8256
128,0.97,Month-to-Month,5219,94.796,0.15,14.2194,170.6328,5062.43,4891.7972
129,0.88,Month-to-Month,5750,106.08,0.1,10.608,127.296,5060.0,4932.704
130,0.93,Month-to-Month,5438,92.976,0.1,9.297600000000001,111.5712,5057.34,4945.7688
131,0.87,Month-to-Month,5813,91.572,0.1,9.157200000000001,109.88640000000001,5057.31,4947.4236
132,0.92,Month-to-Month,5482,46.384,0.1,4.6384,55.660799999999995,5043.4400000000005,4987.779200000001
133,0.8,One Year,6304,88.972,0.05,4.4486,53.3832,5043.200000000001,4989.8168000000005
134,0.88,Month-to-Month,5730,62.816,0.1,6.281600000000001,75.37920000000001,5042.4,4967.020799999999
135,0.95,Month-to-Month,5303,37.908,0.1,3.7908000000000004,45.4896,5037.849999999999,4992.3604
136,0.88,Month-to-Month,5720,109.72,0.1,10.972000000000001,131.66400000000002,5033.6,4901.936000000001
137,0.98,Month-to-Month,5136,88.14,0.15,13.221,158.652,5033.28,4874.628
138,0.91,Month-to-Month,5527,115.544,0.1,11.554400000000001,138.6528,5029.570000000001,4890.917200000001
139,0.87,Month-to-Month,5775,51.22,0.1,5.122,61.464,5024.25,4962.786
140,0.92,Month-to-Month,5460,94.38,0.1,9.438,113.256,5023.2,4909.9439999999995
141,0.87,Month-to-Month,5769,88.764,0.1,8.8764,106.5168,5019.03,4912.513199999999
142,0.85,One Year,5898,110.344,0.05,5.5172,66.2064,5013.3,4947.0936
143,0.93,Month-to-Month,5390,97.604,0.1,9.7604,117.12480000000001,5012.7,4895.5752
144,0.85,Month-to-Month,5897,107.848,0.05,5.3924,64.7088,5012.45,4947.7411999999995
145,0.99,Month-to-Month,5056,100.1,0.15,15.014999999999999,180.17999999999998,5005.44,4825.259999999999
146,0.97,Month-to-Month,5159,77.896,0.15,11.6844,140.21280000000002,5004.23,4864.017199999999
147,0.95,Month-to-Month,5264,97.084,0.1,9.708400000000001,116.50080000000001,5000.8,4884.2992
148,0.96,Month-to-Month,5209,51.064,0.15,7.659599999999999,91.9152,5000.639999999999,4908.724799999999
149,0.85,Month-to-Month,5882,77.792,0.05,3.8896,46.675200000000004,4999.7,4953.0248
150,0.89,Month-to-Month,5617,97.292,0.1,9.7292,116.75040000000001,4999.13,4882.3796
151,0.88,Month-to-Month,5679,88.4,0.1,8.840000000000002,106.08000000000001,4997.52,4891.4400000000005
152,0.86,Month-to-Month,5803,114.504,0.1,11.450400000000002,137.40480000000002,4990.58,4853.1752
153,0.87,Month-to-Month,5732,99.424,0.1,9.942400000000001,119.30880000000002,4986.84,4867.5312
154,0.91,Month-to-Month,5475,78.832,0.1,7.8831999999999995,94.5984,4982.25,4887.6516
155,0.86,Two Year,5789,99.06,0.1,9.906,118.87200000000001,4978.54,4859.668
156,0.96,Month-to-Month,5180,104.52,0.15,15.677999999999999,188.136,4972.8,4784.664
157,0.88,Month-to-Month,5643,95.524,0.1,9.5524,114.62880000000001,4965.84,4851.2112
158,0.92,Month-to-Month,5396,81.068,0.1,8.1068,97.2816,4964.320000000001,4867.0384
159,0.88,Month-to-Month,5640,83.148,0.1,8.3148,99.7776,4963.2,4863.4223999999995
160,0.89,Month-to-Month,5570,108.576,0.1,10.8576,130.2912,4957.3,4827.0088000000005
161,0.92,Month-to-Month,5386,26.156,0.1,2.6156,31.3872,4955.12,4923.7328
162,0.84,Month-to-Month,5898,78.26,0.05,3.9130000000000003,46.956,4954.32,4907.364
163,0.99,Month-to-Month,4998,97.604,0.15,14.6406,175.6872,4948.0199999999995,4772.332799999999
164,0.92,Month-to-Month,5377,25.792,0.1,2.5792,30.950400000000002,4946.84,4915.8896
165,0.94,Month-to-Month,5258,72.436,0.1,7.243600000000001,86.92320000000001,4942.5199999999995,4855.596799999999
166,0.91,Month-to-Month,5419,98.072,0.1,9.807200000000002,117.68640000000002,4931.29,4813.6036
167,0.9,Month-to-Month,5474,34.84,0.1,3.4840000000000004,41.80800000000001,4926.6,4884.792
168,0.92,Month-to-Month,5355,52.78,0.1,5.2780000000000005,63.336000000000006,4926.6,4863.264
169,0.97,Month-to-Month,5075,77.324,0.15,11.5986,139.1832,4922.75,4783.5668
170,0.96,Month-to-Month,5124,93.392,0.15,14.008799999999999,168.10559999999998,4919.04,4750.9344
171,0.86,Month-to-Month,5717,19.65,0.1,1.9649999999999999,23.58,4916.62,4893.04
172,0.9,Month-to-Month,5461,52.156,0.1,5.2156,62.5872,4914.900000000001,4852.312800000001
173,0.88,One Year,5585,104.624,0.1,10.4624,125.5488,4914.8,4789.251200000001
174,0.95,Month-to-Month,5172,88.66,0.1,8.866,106.392,4913.4,4807.008
175,0.82,Month-to-Month,5989,97.136,0.05,4.8568,58.2816,4910.98,4852.698399999999
176,0.85,Month-to-Month,5775,96.252,0.05,4.8126,57.7512,4908.75,4850.9988
177,0.85,Month-to-Month,5773,72.956,0.05,3.6478,43.7736,4907.05,4863.2764
178,0.95,Month-to-Month,5165,77.948,0.1,7.7947999999999995,93.5376,4906.75,4813.2124
179,0.97,Month-to-Month,5056,72.644,0.15,10.896600000000001,130.75920000000002,4904.32,4773.560799999999
180,0.88,Month-to-Month,5571,82.732,0.1,8.273200000000001,99.2784,4902.4800000000005,4803.2016
181,0.87,Month-to-Month,5633,77.324,0.1,7.7324,92.78880000000001,4900.71,4807.9212
182,0.85,Month-to-Month,5753,71.24,0.05,3.562,42.744,4890.05,4847.3060000000005
183,0.78,One Year,6268,108.732,0.05,5.4366,65.23920000000001,4889.04,4823.8008
184,0.93,Month-to-Month,5248,88.504,0.1,8.8504,106.2048,4880.64,4774.4352
185,0.96,Month-to-Month,5082,82.836,0.15,12.4254,149.1048,4878.72,4729.6152
186,0.84,Month-to-Month,5796,72.124,0.05,3.6062,43.2744,4868.639999999999,4825.365599999999
187,0.96,Month-to-Month,5071,83.304,0.15,12.4956,149.9472,4868.16,4718.2128
188,0.91,Month-to-Month,5344,64.532,0.1,6.4532,77.4384,4863.04,4785.6016
189,0.84,Month-to-Month,5787,57.564,0.05,2.8782,34.5384,4861.08,4826.5416
190,0.82,Month-to-Month,5927,94.172,0.05,4.7086,56.50319999999999,4860.139999999999,4803.636799999999
191,0.83,Month-to-Month,5853,92.716,0.05,4.6358,55.629599999999996,4857.99,4802.3604
192,0.86,Month-to-Month,5648,108.368,0.1,10.8368,130.04160000000002,4857.28,4727.2384
193,0.82,One Year,5922,72.28,0.05,3.6140000000000003,43.368,4856.04,4812.672
194,0.94,Month-to-Month,5165,73.112,0.1,7.3111999999999995,87.7344,4855.099999999999,4767.365599999999
195,0.83,Month-to-Month,5849,111.02,0.05,5.551,66.612,4854.67,4788.058
196,0.77,Month-to-Month,6284,109.512,0.05,5.4756,65.7072,4838.68,4772.9728000000005
197,0.79,Two Year,6120,112.996,0.05,5.6498,67.7976,4834.8,4767.0024
198,0.85,Month-to-Month,5687,50.492,0.05,2.5246,30.2952,4833.95,4803.6548
199,0.87,Month-to-Month,5556,61.776,0.1,6.177600000000001,74.1312,4833.72,4759.5888
200,0.98,Month-to-Month,4931,88.868,0.15,13.3302,159.9624,4832.38,4672.4176
201,0.99,Month-to-Month,4880,89.128,0.15,13.3692,160.4304,4831.2,4670.7696
202,0.92,Month-to-Month,5247,96.928,0.1,9.6928,116.31360000000001,4827.24,4710.926399999999
203,0.92,Month-to-Month,5245,107.068,0.1,10.706800000000001,128.48160000000001,4825.400000000001,4696.9184000000005
204,0.9,Month-to-Month,5360,48.204,0.1,4.8204,57.844800000000006,4824.0,4766.1552
205,0.83,Month-to-Month,5812,108.004,0.05,5.400200000000001,64.8024,4823.96,4759.1576000000005
206,0.86,Two Year,5602,110.292,0.1,11.029200000000001,132.3504,4817.72,4685.3696
207,0.95,Month-to-Month,5066,72.748,0.1,7.274800000000001,87.29760000000002,4812.7,4725.4024
208,0.87,Month-to-Month,5530,95.524,0.1,9.5524,114.62880000000001,4811.1,4696.4712
209,0.9,Month-to-Month,5335,99.476,0.1,9.947600000000001,119.37120000000002,4801.5,4682.1288
210,0.89,Month-to-Month,5393,77.22,0.1,7.722,92.664,4799.77,4707.106000000001
211,0.97,Month-to-Month,4944,72.852,0.15,10.9278,131.1336,4795.68,4664.5464
212,0.85,Month-to-Month,5641,89.232,0.05,4.4616,53.539199999999994,4794.849999999999,4741.310799999999
213,0.93,Month-to-Month,5154,94.9,0.1,9.49,113.88,4793.22,4679.34
214,0.87,Month-to-Month,5502,88.868,0.1,8.8868,106.64159999999998,4786.74,4680.0984
215,0.97,Month-to-Month,4934,88.712,0.15,13.3068,159.6816,4785.98,4626.2984
216,0.93,Month-to-Month,5145,88.868,0.1,8.8868,106.64159999999998,4784.85,4678.2084
217,0.82,Month-to-Month,5834,56.472,0.05,2.8236000000000003,33.8832,4783.88,4749.9968
218,0.84,Month-to-Month,5692,94.484,0.05,4.7242,56.6904,4781.28,4724.589599999999
219,0.88,Month-to-Month,5433,41.236,0.1,4.1236,49.4832,4781.04,4731.5568
220,0.83,Month-to-Month,5758,58.76,0.05,2.938,35.256,4779.139999999999,4743.883999999999
221,0.89,Month-to-Month,5365,81.068,0.1,8.1068,97.2816,4774.85,4677.5684
222,0.91,Month-to-Month,5247,104.624,0.1,10.4624,125.5488,4774.77,4649.221200000001
223,1.0,Month-to-Month,4773,73.268,0.15,10.9902,131.8824,4773.0,4641.1176
224,0.91,Month-to-Month,5245,87.932,0.1,8.7932,105.51840000000001,4772.95,4667.4316
225,0.86,Month-to-Month,5543,102.752,0.1,10.2752,123.3024,4766.98,4643.6776
226,0.8,One Year,5957,100.412,0.05,5.020600000000001,60.24720000000001,4765.6,4705.352800000001
227,0.9,Month-to-Month,5287,73.996,0.1,7.3995999999999995,88.7952,4758.3,4669.504800000001
228,0.97,Month-to-Month,4902,78.312,0.15,11.746799999999999,140.96159999999998,4754.94,4613.9784
229,0.94,Month-to-Month,5057,72.54,0.1,7.254000000000001,87.04800000000002,4753.58,4666.532
230,0.95,Month-to-Month,5003,77.74,0.1,7.774,93.288,4752.849999999999,4659.562
231,0.85,Month-to-Month,5586,83.876,0.05,4.1938,50.32560000000001,4748.099999999999,4697.774399999999
232,0.93,Month-to-Month,5105,78.78,0.1,7.878,94.536,4747.650000000001,4653.1140000000005
233,0.93,Month-to-Month,5100,95.056,0.1,9.5056,114.06719999999999,4743.0,4628.9328
234,0.83,Month-to-Month,5712,104.728,0.05,5.2364,62.8368,4740.96,4678.1232
235,0.88,Month-to-Month,5386,52.884,0.1,5.2884,63.460800000000006,4739.68,4676.2192000000005
236,0.96,Month-to-Month,4937,97.292,0.15,14.5938,175.1256,4739.5199999999995,4564.394399999999
237,0.79,Month-to-Month,5998,104.26,0.05,5.213000000000001,62.55600000000001,4738.42,4675.8640000000005
238,0.93,Month-to-Month,5095,88.452,0.1,8.8452,106.14240000000001,4738.35,4632.207600000001
239,0.84,Month-to-Month,5640,89.388,0.05,4.4694,53.6328,4737.599999999999,4683.967199999999
240,0.95,Month-to-Month,4981,89.024,0.1,8.9024,106.8288,4731.95,4625.1212
241,0.83,Month-to-Month,5701,84.24,0.05,4.212,50.544,4731.83,4681.286
242,0.97,Month-to-Month,4877,57.2,0.15,8.58,102.96000000000001,4730.69,4627.73
243,0.94,Month-to-Month,5032,83.72,0.1,8.372,100.464,4730.08,4629.616
244,0.84,Month-to-Month,5627,20.35,0.05,1.0175,12.21,4726.679999999999,4714.469999999999
245,0.85,Month-to-Month,5559,102.856,0.05,5.1428,61.7136,4725.15,4663.4364
246,0.82,Month-to-Month,5750,99.58,0.05,4.979,59.748000000000005,4715.0,4655.252
247,0.85,Month-to-Month,5546,93.964,0.05,4.6982,56.3784,4714.099999999999,4657.7216
248,0.95,Month-to-Month,4962,73.112,0.1,7.3111999999999995,87.7344,4713.9,4626.165599999999
249,0.85,Month-to-Month,5533,82.42,0.05,4.121,49.452000000000005,4703.05,4653.598
250,0.84,Month-to-Month,5597,51.116,0.05,2.5558,30.669600000000003,4701.48,4670.810399999999
251,0.94,Month-to-Month,5001,82.264,0.1,8.2264,98.7168,4700.94,4602.223199999999
252,0.88,Month-to-Month,5339,82.264,0.1,8.2264,98.7168,4698.32,4599.6032
253,0.89,Month-to-Month,5274,71.396,0.1,7.139600000000001,85.6752,4693.86,4608.1848
254,0.83,One Year,5650,62.868,0.05,3.1434,37.720800000000004,4689.5,4651.7792
255,0.89,Month-to-Month,5267,98.02,0.1,9.802,117.624,4687.63,4570.006
256,0.84,Month-to-Month,5573,25.428,0.05,1.2714,15.256800000000002,4681.32,4666.0632
257,0.93,Month-to-Month,5026,76.7,0.1,7.670000000000001,92.04,4674.18,4582.14
258,0.79,Month-to-Month,5915,99.424,0.05,4.9712000000000005,59.65440000000001,4672.85,4613.1956
259,0.9,Month-to-Month,5186,91.988,0.1,9.1988,110.38560000000001,4667.400000000001,4557.014400000001
260,0.9,Month-to-Month,5184,102.44,0.1,10.244,122.928,4665.6,4542.6720000000005
261,0.95,Month-to-Month,4910,92.352,0.1,9.2352,110.82240000000002,4664.5,4553.6776
262,0.89,Month-to-Month,5239,82.16,0.1,8.216,98.59199999999998,4662.71,4564.118
263,0.94,Month-to-Month,4954,47.112,0.1,4.711200000000001,56.534400000000005,4656.759999999999,4600.2256
264,0.99,Month-to-Month,4703,94.952,0.15,14.242799999999999,170.91359999999997,4655.97,4485.0564
265,0.96,Month-to-Month,4849,93.08,0.15,13.962,167.54399999999998,4655.04,4487.496
266,0.96,Month-to-Month,4849,45.032,0.15,6.7547999999999995,81.0576,4655.04,4573.9824
267,0.9,Month-to-Month,5166,104.052,0.1,10.4052,124.86240000000001,4649.400000000001,4524.537600000001
268,0.96,Month-to-Month,4843,89.492,0.15,13.4238,161.0856,4649.28,4488.194399999999
269,0.88,Month-to-Month,5283,78.208,0.1,7.8208,93.84960000000001,4649.04,4555.1903999999995
270,0.93,Month-to-Month,4997,82.316,0.1,8.2316,98.7792,4647.21,4548.4308
271,0.83,Month-to-Month,5595,20.05,0.05,1.0025000000000002,12.030000000000001,4643.849999999999,4631.82
272,0.76,One Year,6110,93.34,0.05,4.667000000000001,56.004000000000005,4643.6,4587.5960000000005
273,0.92,Month-to-Month,5047,92.976,0.1,9.297600000000001,111.5712,4643.24,4531.6687999999995
274,0.91,Month-to-Month,5102,56.368,0.1,5.636800000000001,67.64160000000001,4642.82,4575.1784
275,0.8,Month-to-Month,5799,76.492,0.05,3.8246,45.8952,4639.2,4593.3048
276,0.85,Month-to-Month,5456,86.684,0.05,4.3342,52.010400000000004,4637.599999999999,4585.589599999999
277,0.91,Month-to-Month,5094,73.008,0.1,7.3008,87.6096,4635.54,4547.9304
278,0.83,Month-to-Month,5581,99.892,0.05,4.9946,59.9352,4632.23,4572.2948
279,0.79,Month-to-Month,5863,98.852,0.05,4.9426000000000005,59.31120000000001,4631.77,4572.4588
280,0.9,Month-to-Month,5146,89.024,0.1,8.9024,106.8288,4631.400000000001,4524.5712
281,0.84,Month-to-Month,5508,104.468,0.05,5.223400000000001,62.680800000000005,4626.72,4564.0392
