Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Age,Number of Dependents,Latitude,Longitude,Population,CLTV,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction,Price_Bucket,Population_2024,Referred a Friend_Yes,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes
0,11,11.59,32,98.8,1120.3,0.0,358.0,127.49,78,1,34.207295,-118.400022,57146,5980,2,2,1.0,High,39355309,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True
0,15,29.11,32,77.376,1074.3,0.0,344.0,436.65,65,0,34.097345,-117.906736,33817,4616,0,0,3.0,High,39355309,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
1,1,0.0,13,41.808,40.2,0.0,0.0,0.0,77,0,34.074492,-118.01462,62660,5828,2,0,3.0,Medium,39355309,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False
0,3,0.0,31,42.796,132.2,0.0,41.0,0.0,67,0,34.038983,-117.991372,30802,2314,7,1,2.0,Medium,39355309,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False
0,13,32.68,12,111.176,1364.3,0.0,164.0,424.84,68,0,33.976753,-117.897367,46342,2494,1,2,1.0,Very High,39355309,False,False,False,True,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
0,16,9.43,10,98.228,1511.2,0.0,151.0,150.88,68,0,34.074087,-117.605618,49474,3810,0,0,3.0,High,39355309,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False
0,8,1.78,8,77.48,606.55,0.0,0.0,14.24,66,0,32.827184,-116.703729,16486,4345,5,2,3.0,High,39355309,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
0,24,30.87,16,79.144,1712.7,0.0,0.0,740.88,69,0,32.85723,-117.209774,34902,2018,0,0,3.0,High,39355309,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
0,4,31.61,2,99.268,396.1,0.0,8.0,126.44,74,0,32.85723,-117.209774,34902,3677,4,0,3.0,High,39355309,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False
2,32,47.34,11,77.896,2303.35,0.0,253.0,1514.88,76,0,32.85723,-117.209774,34902,4105,4,0,3.0,High,39355309,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False
1,24,16.1,13,96.876,2231.05,0.0,0.0,386.4,77,0,32.85723,-117.209774,34902,2212,1,0,3.0,High,39355309,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,True,False,False,True,False,False,True,False,True,True,False
0,54,12.08,6,85.748,4350.1,0.0,0.0,652.32,70,0,32.85723,-117.209774,34902,4149,3,0,3.0,High,39355309,False,True,False,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False
0,2,13.17,11,73.164,139.05,0.0,15.0,26.34,74,0,32.85723,-117.209774,34902,2671,4,0,3.0,High,39355309,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,21,0.0,9,43.576,840.1,0.0,0.0,0.0,77,0,32.85723,-117.209774,34902,4778,2,0,3.0,Medium,39355309,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
0,27,0.0,14,31.98,805.1,0.0,113.0,0.0,71,0,32.85723,-117.209774,34902,2927,2,0,3.0,Medium,39355309,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False
1,11,29.54,0,19.95,214.75,0.0,0.0,324.94,79,0,32.85723,-117.209774,34902,5888,2,0,3.0,Low,39355309,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False
2,55,42.82,30,88.868,4874.7,0.0,0.0,2355.1,66,0,32.85723,-117.209774,34902,5502,4,0,3.0,High,39355309,True,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
0,3,9.22,15,84.604,233.7,0.0,3.51,27.66,77,0,32.85723,-117.209774,34902,2818,1,3,1.0,High,39355309,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
0,1,35.09,19,78.312,75.3,0.0,0.0,35.09,80,0,33.53604,-116.119222,17018,4902,7,1,2.0,High,39355309,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
0,5,0.0,29,29.588,131.05,0.0,38.0,0.0,77,0,34.004379,-117.447864,63999,4099,4,0,2.0,Low,39355309,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,20,48.73,13,97.864,1782.4,0.0,232.0,974.6,77,0,33.644585,-116.871544,39264,2666,4,1,1.0,High,39355309,False,True,False,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
4,5,45.76,24,77.324,334.8,0.0,80.0,228.8,72,0,33.970661,-117.255039,46214,5273,4,2,1.0,High,39355309,True,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
2,27,7.02,28,78.208,1929.35,0.0,0.0,189.54,80,0,33.828289,-117.201666,26357,4517,1,0,3.0,High,39355309,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
0,4,48.35,26,92.768,346.2,0.0,0.0,193.4,74,0,33.848733,-117.788357,36301,5808,2,2,1.0,High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
0,1,45.81,23,89.128,85.7,0.0,0.0,45.81,68,0,33.924143,-117.79387,1408,4880,5,1,1.0,High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
3,65,18.39,31,109.46,6786.4,0.0,0.0,1195.35,78,0,33.884073,-117.732197,20893,4196,5,0,3.0,Very High,39355309,True,True,False,False,False,True,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False
3,49,22.92,15,93.652,4547.25,0.0,0.0,1123.08,75,0,34.420998,-119.60137,576,5059,5,0,2.0,High,39355309,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False
1,43,14.52,6,115.18,4687.9,0.0,0.0,624.36,77,0,34.419203,-119.710008,31727,2728,1,1,2.0,Very High,39355309,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,False
0,56,48.8,13,108.732,5794.65,0.0,753.0,2732.8,80,0,35.869626,-119.498771,1054,6268,0,0,3.0,Very High,39355309,False,True,False,False,False,True,True,True,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False
7,20,5.31,11,98.332,1899.65,0.0,209.0,106.2,75,0,36.057458,-118.591951,191,5604,2,3,3.0,High,39355309,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,False,True,True,False
0,2,47.47,21,93.08,161.5,0.0,34.0,94.94,69,0,35.772244,-119.209689,37280,2065,5,0,3.0,High,39355309,False,True,False,False,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
0,8,27.95,0,19.65,164.3,0.0,0.0,223.6,74,0,35.215731,-119.57013,626,5432,6,0,3.0,Low,39355309,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,52,0.0,20,51.116,2550.9,0.0,0.0,0.0,76,0,33.507255,-117.029473,46171,5597,1,1,2.0,Medium,39355309,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,False
0,2,43.99,30,51.22,91.1,0.0,27.0,87.98,69,0,32.961064,-117.134917,47224,3475,5,0,2.0,Medium,39355309,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
1,33,27.78,9,98.28,3105.55,0.0,279.0,916.74,72,0,32.961064,-117.134917,47224,4333,2,2,3.0,High,39355309,True,True,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False
0,30,45.88,21,95.368,2758.15,0.0,579.0,1376.4,69,0,32.961064,-117.134917,47224,2482,4,1,3.0,High,39355309,False,True,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,20,44.44,14,102.492,1842.8,0.0,258.0,888.8,73,0,32.961064,-117.134917,47224,5444,5,0,3.0,Very High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
0,46,2.37,22,114.4,4874.8,0.0,1072.0,109.02,65,0,36.798882,-120.019511,807,2403,4,0,3.0,Very High,39355309,False,True,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False
1,7,21.91,12,99.424,644.35,0.0,77.0,153.37,74,0,36.545322,-119.642281,26213,3265,1,0,3.0,High,39355309,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False
0,4,36.93,20,82.004,292.8,0.0,59.0,147.72,65,0,36.719141,-119.202677,3146,5301,3,2,3.0,High,39355309,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,55,37.38,8,104.0,5509.3,0.0,441.0,2055.9,66,0,36.654614,-119.903674,35790,5679,6,0,3.0,Very High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False
1,20,5.37,26,76.596,1463.5,0.0,0.0,107.4,71,0,35.930782,-121.189757,254,5849,0,0,3.0,High,39355309,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False
0,9,48.71,16,104.52,918.6,0.0,147.0,438.39,65,0,37.7795,-122.419233,28998,4038,4,1,1.0,Very High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,True,False,True,False,False
0,10,5.46,26,75.764,688.65,0.0,179.0,54.6,69,0,37.791998,-122.408653,13723,3189,5,4,3.0,High,39355309,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
0,1,36.92,7,76.492,73.55,0.0,0.0,36.92,75,0,37.758085,-122.434801,30587,4369,2,0,2.0,High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False
0,3,41.9,12,82.576,205.05,0.0,25.0,125.7,75,0,37.820894,-122.369725,1458,3501,5,1,3.0,High,39355309,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,4,6.68,19,87.984,360.1,0.0,6.84,26.72,68,0,37.386978,-122.177746,1723,2467,6,1,1.0,High,39355309,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False
0,35,20.83,21,103.012,3395.8,0.0,0.0,729.05,71,0,38.140719,-121.838298,138,2074,5,1,1.0,Very High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False
0,2,26.62,12,46.748,85.15,0.0,10.0,53.24,80,0,37.83323,-121.601461,10153,5900,5,2,2.0,Medium,39355309,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
0,8,11.57,30,104.312,832.35,0.0,250.0,92.56,66,0,37.516791,-121.899117,46917,5084,2,5,1.0,Very High,39355309,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,False,True,False,True,False,True,False,False
2,44,0.0,31,31.564,1359.7,0.0,422.0,0.0,73,0,37.571748,-121.659562,75929,4829,4,4,1.0,Medium,39355309,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False
1,62,7.11,18,107.9,6383.35,0.0,1149.0,440.82,77,0,38.489789,-122.27011,63947,5052,1,2,3.0,Very High,39355309,True,True,False,False,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,False,True,False,False,True,False,True,True,False
1,33,33.19,16,83.824,2656.5,0.0,0.0,1095.27,76,0,37.633361,-121.862395,36669,3601,2,0,2.0,High,39355309,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
0,4,49.5,25,98.072,424.45,0.0,106.0,198.0,65,0,37.766556,-121.976784,44078,5419,0,0,3.0,High,39355309,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False
1,27,10.6,25,78.52,1893.95,0.0,473.0,286.2,75,0,37.685052,-121.912061,28568,2377,1,3,1.0,High,39355309,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False
0,8,40.45,32,104.624,819.4,0.0,0.0,323.6,75,0,37.871416,-122.246597,21205,5906,4,0,1.0,Very High,39355309,False,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False
1,3,25.77,2,91.832,273.75,0.0,5.0,77.31,68,0,37.897753,-122.279391,11889,4486,2,0,1.0,High,39355309,True,False,False,False,True,True,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,True,False
0,8,42.93,10,95.784,729.95,0.0,0.0,343.44,71,0,37.872902,-122.303708,8157,5662,0,0,3.0,High,39355309,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False
0,14,11.31,26,94.068,1266.1,0.0,329.0,158.34,74,0,37.946617,-122.563571,12010,4777,0,0,3.0,High,39355309,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False
0,12,0.0,11,45.396,526.95,0.0,58.0,0.0,77,0,38.010092,-122.689442,1025,2437,2,4,3.0,Medium,39355309,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False
0,13,40.37,23,77.272,940.35,0.0,216.0,524.81,73,0,36.936228,-121.785559,4753,2995,1,2,3.0,High,39355309,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,11,3.96,30,93.288,1047.7,0.0,314.0,43.56,68,0,37.03889,-121.528955,49968,2202,4,0,3.0,High,39355309,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
1,17,28.18,18,104.468,1622.45,0.0,0.0,479.06,74,0,37.222842,-121.988727,13290,5508,0,0,3.0,Very High,39355309,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,True,False
1,39,33.25,29,109.876,4284.8,0.0,1243.0,1296.75,65,0,37.316146,-121.936285,32804,4687,4,0,3.0,Very High,39355309,True,True,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,True,False,True,True,False
5,11,17.25,30,108.212,1133.65,0.0,340.0,189.75,73,0,37.28682,-121.723877,15798,4553,1,0,3.0,Very High,39355309,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False
1,3,3.29,10,83.616,224.05,0.0,0.0,9.87,74,0,38.358464,-120.579304,21,3834,0,0,3.0,High,39355309,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
0,21,34.62,15,62.452,1236.15,0.0,185.0,727.02,80,0,38.085839,-120.37855,2144,4716,1,1,1.0,Medium,39355309,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
0,16,38.75,18,99.996,1529.2,0.0,275.0,620.0,76,0,33.141265,-116.967221,48690,5913,5,0,2.0,High,39355309,False,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False
0,46,6.13,33,99.06,4424.2,0.0,1460.0,281.98,73,0,33.840524,-118.148403,30173,3180,1,1,3.0,High,39355309,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False
1,68,24.13,26,93.184,6127.6,0.0,0.0,1640.84,70,0,38.493888,-122.777141,476,5651,0,0,3.0,High,39355309,True,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False
1,7,13.63,30,93.08,676.7,0.0,203.0,95.41,75,0,39.12334,-122.838198,2223,3077,2,2,2.0,High,39355309,True,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False
1,15,45.25,24,89.024,1345.55,0.0,323.0,678.75,74,0,40.166028,-123.584144,261,4981,3,5,3.0,High,39355309,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False
0,16,19.18,24,90.064,1281.0,0.0,0.0,306.88,76,0,40.825486,-124.049485,1689,2508,2,2,3.0,High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
0,1,29.68,20,72.02,69.25,0.0,0.0,29.68,75,0,40.665952,-124.240051,1447,4371,3,1,2.0,High,39355309,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,1,0.0,6,26.208,25.2,0.0,0.0,0.0,74,0,40.485849,-124.163234,3284,5688,2,1,3.0,Low,39355309,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,13,19.03,26,98.852,1290.0,0.0,335.0,247.39,73,0,38.544002,-121.685559,648,2230,3,0,1.0,High,39355309,False,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False
0,1,20.06,26,82.368,79.2,0.0,0.0,20.06,69,0,38.672638,-121.147403,51855,4363,2,0,3.0,High,39355309,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,34,2.88,4,98.02,3217.55,0.0,0.0,97.92,75,0,38.674276,-121.961866,844,3369,2,2,3.0,High,39355309,True,True,False,False,False,True,True,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False
0,4,12.68,11,103.792,442.85,0.0,49.0,50.72,65,0,38.833554,-121.498102,901,2268,4,1,3.0,Very High,39355309,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,True,True,False,False,False,True,True,False,False,False,True,False,False
0,2,19.27,20,97.604,170.85,0.0,3.42,38.54,77,0,38.984756,-121.345074,1219,4193,4,0,3.0,High,39355309,False,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False
0,9,30.8,20,87.776,732.5,0.0,146.0,277.2,67,0,39.043387,-121.409837,3600,5745,8,0,3.0,High,39355309,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False
0,5,42.33,10,78.572,349.65,0.0,35.0,211.65,78,0,38.591134,-121.161585,299,4028,5,4,1.0,High,39355309,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
0,22,40.18,9,100.568,2082.95,0.0,187.0,883.96,65,0,40.171312,-121.120605,86,4458,1,0,1.0,Very High,39355309,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,False,True,False,False
0,19,39.97,10,91.728,1775.8,0.0,178.0,759.43,74,0,39.381174,-121.21191,614,5683,2,2,3.0,High,39355309,False,False,False,True,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
0,15,46.38,21,78.676,1146.65,0.0,0.0,695.7,70,0,40.077028,-121.494168,1351,2099,1,1,3.0,High,39355309,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
0,1,11.34,22,77.688,74.7,0.0,0.0,11.34,69,0,39.099204,-121.137962,17922,3348,3,4,3.0,High,39355309,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
0,1,0.0,29,26.832,25.8,0.0,0.0,0.0,76,0,39.333737,-120.858667,17269,3884,2,1,3.0,Low,39355309,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
0,10,41.37,15,99.164,898.35,0.0,135.0,413.7,71,0,33.141265,-116.967221,48690,5353,1,0,3.0,High,39355309,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
0,3,30.14,7,46.8,127.1,0.0,9.0,90.42,76,0,33.362575,-117.299644,42239,4145,3,0,3.0,Medium,39355309,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,12,6.97,21,83.668,950.2,0.0,200.0,83.64,77,0,40.704293,-122.803899,1845,5374,1,0,2.0,High,39355309,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False
0,2,6.51,12,77.688,165.4,0.0,0.0,13.02,74,0,40.582399,-122.195512,4931,2803,1,1,3.0,High,39355309,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
0,1,49.6,22,92.352,88.8,0.0,0.0,49.6,77,0,40.923558,-122.059933,459,3106,1,0,3.0,High,39355309,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
1,13,1.47,6,92.612,1169.35,0.0,70.0,19.11,76,0,32.957195,-117.202542,28201,3861,1,0,1.0,High,39355309,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False
0,23,31.17,25,98.54,2293.6,0.0,573.0,716.91,77,0,32.957195,-117.202542,28201,2740,4,1,3.0,High,39355309,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False
1,17,36.82,7,88.764,1463.45,0.0,102.0,625.94,80,0,32.957195,-117.202542,28201,3209,1,0,3.0,High,39355309,True,False,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
0,17,40.93,2,46.852,770.6,0.0,0.0,695.81,68,0,32.957195,-117.202542,28201,3797,0,0,3.0,Medium,39355309,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
0,42,9.53,19,88.036,3541.35,0.0,673.0,400.26,79,0,32.957195,-117.202542,28201,4871,3,0,3.0,High,39355309,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
